ACRS Report Type,Date and Time,Route Type,Road Name,Municipality,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver At Fault,Injury Severity,Driver Distracted By,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make,Wind Speed (MPH),TMP10-DK ,Relative Humidity (%),Rain (Inches)
Injury Crash,01-03-2022 09:15,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,Unknown,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,South,South,40,2001,TOYOTA,2.8,31.2,24,0
Injury Crash,01-03-2022 09:45,Municipality,SOUTHERN KNIGHT LA,GAITHERSBURG,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,Yes,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,2020,TOYOTA,3.9,198,31.2,0
Injury Crash,01-03-2022 09:45,County,BROADBIRCH DR,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2014,CHEVROLET,0,0,0,0
Injury Crash,01-03-2022 09:45,Maryland (State),VEIRS MILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,East,East,40,2004,JEEP,8.7,40.1,26.8,0
Property Damage Crash,01-03-2022 10:41,County,OAKVIEW DR,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,South,South,40,2013,DODGE,0,0,0,0
Property Damage Crash,01-03-2022 11:41,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,South,35,2017,HONDA,12,35.8,25.5,0
Property Damage Crash,01-03-2022 12:00,,,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,PARKING,South,South,25,2017,TOYOTA,4.2,39.4,37.2,0
Property Damage Crash,01-03-2022 12:05,US (State),COLUMBIA PIKE,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,,MOVING CONSTANT SPEED,West,West,40,0,UNKNOWN,0,0,0,0
Property Damage Crash,01-03-2022 12:05,County,FATHER HURLEY BLVD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,South,West,40,2018,TOYOTA,2.4,47.3,40.2,0
Property Damage Crash,01-03-2022 12:07,Maryland (State),GEORGIA AVE,N/A,SAME DIRECTION RIGHT TURN,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,TRANSIT BUS,MOVING CONSTANT SPEED,North,North,35,2013,NEW FLYER,5.7,59.6,56,0
Property Damage Crash,01-03-2022 12:07,,,,OTHER,CLEAR,,DARK LIGHTS ON,N/A,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,BACKING,East,East,0,2005,CHRYSLER,3.6,60.1,56.8,0
Property Damage Crash,01-03-2022 12:30,County,GRAND PRE RD,N/A,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,TRANSIT BUS,SLOWING OR STOPPING,North,North,35,2013,GILLIG,1.7,202,27.1,0
Injury Crash,01-03-2022 12:30,Maryland (State),ROCKVILLE PIKE,N/A,SAME DIRECTION SIDESWIPE,N/A,N/A,DARK LIGHTS ON,N/A,No,POSSIBLE INJURY,UNKNOWN,N/A,MOVING CONSTANT SPEED,North,North,40,2017,TOYOTA,10.9,35.4,25.4,0
Injury Crash,01-03-2022 12:52,Maryland (State),GEORGIA AVE,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,POSSIBLE INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,East,45,2015,HONDA,15.2,185,42.8,0
Property Damage Crash,01-03-2022 12:52,US (State),COLESVILLE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,35,2004,CHEVROLET,4.6,252,18.8,0
Property Damage Crash,01-03-2022 13:30,County,MONTROSE RD,ROCKVILLE,SAME DIR REAR END,CLEAR,DRY,DUSK,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,35,2014,ACUR,4.8,39.3,37,0
Property Damage Crash,01-03-2022 13:40,County,SPRINGFIELD DR,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,WET,DAYLIGHT,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,ACCELERATING,West,West,25,2020,LEXUS,6.7,43.7,34.6,0
Property Damage Crash,01-03-2022 13:40,Maryland (State),VEIRS MILL RD,N/A,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,CHANGING LANES,East,East,35,2005,TOYT,3.3,227,29,0
Injury Crash,01-03-2022 13:57,County,LOST KNIFE RD,N/A,SINGLE VEHICLE,CLEAR,SLUSH,DAYLIGHT,OTHER,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,2006,HYUN,2,9,17.3,0
Property Damage Crash,01-03-2022 15:28,Maryland (State),UNIVERSITY BLVD E,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,West,West,40,2012,NISS,0,0,0,0
Property Damage Crash,01-03-2022 15:28,Maryland (State),RIVER RD,N/A,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,No,NO APPARENT INJURY,UNKNOWN,,MOVING CONSTANT SPEED,West,West,35,0,UNKNOWN,3.7,158,21.5,0
Injury Crash,01-03-2022 16:10,County,JACKSON RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,East,North,35,2007,TOYOTA,0,0,0,0
Property Damage Crash,01-03-2022 16:24,,,,SAME DIRECTION RIGHT TURN,RAINING,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,STARTING FROM PARKED,West,North,10,2017,FORD,0,0,0,0
Property Damage Crash,01-03-2022 16:37,County,RANDOLPH RD,N/A,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,MAKING LEFT TURN,East,South,40,1997,CHEVROLET,0,0,0,0
Property Damage Crash,01-03-2022 16:37,Maryland (State),ASHTON RD,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,N/A,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,North,45,2016,SUBARU,4.3,331,22,0
Injury Crash,01-03-2022 16:45,Maryland (State),VEIRS MILL RD,N/A,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,POSSIBLE INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,2007,LEXUS,5.7,37.4,30.6,0.02
Property Damage Crash,01-03-2022 17:22,Maryland (State),NEW HAMPSHIRE AVE,N/A,SINGLE VEHICLE,SNOW,SLUSH,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/NON EMERGENCY,MOVING CONSTANT SPEED,South,South,40,2009,CHEVROLET,2.4,159,44.9,0
Property Damage Crash,01-03-2022 17:30,Maryland (State),FREDERICK RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,40,2014,HONDA,6.4,338,20,0
Property Damage Crash,01-03-2022 18:22,,,,OTHER,N/A,,OTHER,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,RECREATIONAL VEHICLE,ACCELERATING,Unknown,Unknown,15,2014,JEEP,2.6,41.2,41.1,0
Property Damage Crash,01-03-2022 18:22,County,ARLINGTON RD,N/A,ANGLE MEETS LEFT HEAD ON,CLOUDY,DRY,DARK NO LIGHTS,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,2016,BMW,3.5,26,31.3,0
Property Damage Crash,01-03-2022 18:32,County,WENDY LA,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,East,South,35,2019,VOLKS,8.4,267,33.6,0
Property Damage Crash,01-03-2022 18:32,County,BRANDERMILL DR,N/A,OTHER,CLEAR,DRY,DARK LIGHTS ON,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,25,2006,HYUN,2.2,348,51.6,0
Injury Crash,01-03-2022 18:43,Maryland (State),WOODFIELD RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING RIGHT TURN,West,South,40,2014,TOYOTA,1.3,48.8,40.7,0
Property Damage Crash,01-03-2022 18:43,County,SEVEN LOCKS RD,N/A,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,VAN,STOPPED IN TRAFFIC LANE,South,South,35,2012,TOYOTA,2.9,14,20.9,0
Property Damage Crash,01-03-2022 19:55,County,BEL PRE RD,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,CHANGING LANES,West,West,35,1995,TOYOTA,3.6,51.6,42.3,0
Injury Crash,01-03-2022 19:55,County,WILKINS AVE,N/A,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,N/A,Yes,SUSPECTED MINOR INJURY,LOOKED BUT DID NOT SEE,MOTORCYCLE,SLOWING OR STOPPING,South,South,30,2009,DUCATI,2.2,61,39.5,0
Injury Crash,01-03-2022 21:28,Maryland (State),DARNESTOWN RD,N/A,OTHER,CLEAR,N/A,DAWN,N/A,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,PASSING,East,East,40,2006,NISSAN,4.9,216,34,0
Property Damage Crash,01-03-2022 23:05,County,BREWSTER AVE,N/A,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,East,East,40,1988,TOYT,3.5,41.8,39.3,0.02
Property Damage Crash,01-03-2022 23:05,County,JANET RD,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAWN,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,ACCELERATING,North,North,25,2018,FORD,5.7,323,20.9,0
Injury Crash,01-03-2022 23:10,Municipality,FIRSTFIELD RD,GAITHERSBURG,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,ACCELERATING,East,East,30,2015,TOYOTA,10.2,42.8,29.3,0
Injury Crash,01-03-2022 23:23,Maryland (State),GEORGIA AVE,N/A,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,40,2013,CHEVROLET,9.8,280,34.9,0
Injury Crash,01-03-2022 23:23,Maryland (State),NORBECK RD,ROCKVILLE,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,50,2014,HONDA,1.4,27.6,23.4,0
Property Damage Crash,02-03-2022 00:54,Maryland (State),OLD COLUMBIA PIKE,N/A,SAME DIRECTION LEFT TURN,FOGGY,WET,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,East,South,35,2011,TOYT,11.2,172,29.9,0
Injury Crash,02-03-2022 01:28,County,MONTROSE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,West,West,40,2003,CHEV,4.1,121,31.7,0
Injury Crash,02-03-2022 02:54,US (State),COLUMBIA PIKE,N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,N/A,Yes,POSSIBLE INJURY,UNKNOWN,PASSENGER CAR,UNKNOWN,East,North,45,2017,TOYOTA,0,0,0,0
Injury Crash,02-03-2022 02:54,County,LOCKWOOD DR,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,N/A,DAYLIGHT,NO CONTROLS,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,1999,ACUR,0,0,0,0
Injury Crash,02-03-2022 05:40,Maryland (State),OLD GEORGETOWN RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2008,SUBARU,3.3,43,39.3,0
Injury Crash,02-03-2022 07:20,County,NICHOLSON LA,N/A,N/A,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,West,30,2016,HOND,5.9,174,54.2,0
Property Damage Crash,02-03-2022 07:20,County,MUDDY BRANCH RD,N/A,HEAD ON LEFT TURN,RAINING,WET,DUSK,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING U TURN,East,East,35,2013,HYUNDIA,10.4,306,31.9,0
Property Damage Crash,02-03-2022 07:56,,,,OTHER,CLEAR,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,UNKNOWN,PICKUP TRUCK,PARKING,Unknown,Unknown,15,1996,NISSAN,2.4,11,32.4,0
Injury Crash,02-03-2022 07:56,Maryland (State),UNIVERSITY BLVD E,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,South,South,40,2005,TOYOTA,12.3,313,18.8,0
Injury Crash,02-03-2022 08:33,Maryland (State),FREDERICK RD,GAITHERSBURG,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,35,2004,TOYT,3.7,37.4,29,0
Injury Crash,02-03-2022 08:33,Municipality,GAITHER RD,ROCKVILLE,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED SERIOUS INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,2005,CHEVROLET,0,0,0,0
Property Damage Crash,02-03-2022 08:33,,,,SINGLE VEHICLE,CLEAR,,DARK NO LIGHTS,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,North,North,0,2016,FORD,4.3,41.9,25.4,0
Property Damage Crash,02-03-2022 10:37,County,DARNESTOWN RD,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DUSK,NO CONTROLS,Unknown,NO APPARENT INJURY,NOT DISTRACTED,FIRE VEHICLE/NON EMERGENCY,STARTING FROM PARKED,West,West,40,2014,SPAR,10.4,33.9,24.4,0
Property Damage Crash,02-03-2022 10:37,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,North,35,2008,NISSAN,0,0,0,0
Property Damage Crash,02-03-2022 12:37,US (State),COLESVILLE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,2014,INFINITI,6.7,329,29.9,0
Property Damage Crash,02-03-2022 12:37,County,SEVEN LOCKS RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,30,2012,MAZDA,1.6,84,29.3,0
Property Damage Crash,02-03-2022 12:37,Maryland (State),NORBECK RD,ROCKVILLE,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,50,2014,TOYOTA,2.1,36.2,25.3,0
Property Damage Crash,02-03-2022 13:25,Maryland (State),CONNECTICUT AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/EMERGENCY,STOPPED IN TRAFFIC LANE,North,North,40,2007,DODGE,0,0,0,0
Property Damage Crash,02-03-2022 13:25,Maryland (State),NORBECK RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,VAN,MOVING CONSTANT SPEED,East,East,35,1998,GMC,0,0,0,0
Property Damage Crash,02-03-2022 14:05,County,PINEY MEETINGHOUSE RD,N/A,ANGLE MEETS LEFT HEAD ON,CLEAR,DRY,DAYLIGHT,STOP SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,SCHOOL BUS,STOPPED IN TRAFFIC LANE,West,West,25,2012,THOM,7.6,43.4,26.4,0
Property Damage Crash,02-03-2022 15:15,County,TIMBERWOOD AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,STOP SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,West,West,25,2009,FORD,1.8,53.7,41.2,0
Injury Crash,02-03-2022 15:15,Maryland (State),GEORGIA AVE,N/A,SAME DIRECTION SIDESWIPE,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,VAN,N/A,South,South,35,2002,CHEVERLOT,7.3,42.6,25.9,0
Property Damage Crash,02-03-2022 15:30,Maryland (State),BRADLEY BLVD,N/A,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,South,South,35,2014,SUBARU,8,310,22.1,0
Injury Crash,02-03-2022 15:30,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,50,2017,HYUNDAI,0,0,0,0
Property Damage Crash,02-03-2022 16:50,County,GREENTREE RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2006,TOYOTA,3.2,219,32.5,0
Property Damage Crash,02-03-2022 17:11,,,,OTHER,CLEAR,,OTHER,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,BACKING,South,South,10,2017,CHEVY,0,0,0,0
Property Damage Crash,02-03-2022 17:11,Maryland (State),RIVER RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,South,East,35,2016,MERZ,1,350,15.6,0
Property Damage Crash,02-03-2022 17:45,Maryland (State),CONNECTICUT AVE,CHEVY CHASE VILLAGE,SAME DIR REAR END,CLEAR,N/A,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STARTING FROM LANE,North,North,30,2021,HYUNDAI,6.6,299,27,0
Injury Crash,02-03-2022 17:45,Maryland (State),BRADLEY BLVD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,No,POSSIBLE INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,East,East,25,2017,SUBAR,0,0,0,0
Property Damage Crash,02-03-2022 19:03,County,CARROLTON RD,N/A,SINGLE VEHICLE,CLEAR,WET,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,NEGOTIATING A CURVE,North,North,25,2003,FORD,0,0,0,0
Property Damage Crash,02-03-2022 19:07,Maryland (State),CONNECTICUT AVE,NORTH CHEVY CHASE,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,2015,HYUNDAI,5.5,83,32.7,0
Property Damage Crash,02-03-2022 19:39,Maryland (State),RIDGE RD,N/A,ANGLE MEETS LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,West,35,2014,ACUR,0,0,0,0
